,densenet169frozen_feature_layers
0,4.235256974513714
1,3.8197886760418234
2,3.2816340831609874
3,2.798241844544044
4,2.35684878551043
5,1.977675655713448
6,1.5941559351407564
7,1.393100374020063
8,1.1791820675134659
9,1.134379852276582
